,class_ids,img_quantities,hopkins
1174,2694666,99,1.0
1175,2694667,31,0.999999999999968
1176,2694672,99,1.0
1177,2694689,101,1.0
1178,2694695,100,1.0
1179,2694744,14,1.0
1180,2694745,101,1.0
1181,2694749,25,1.0
1182,2694760,20,1.0
1183,2694764,62,1.0
1186,2694783,42,1.0
1188,2694789,102,1.0
1189,2694792,99,1.0
1190,2694798,15,1.0
1191,2694804,53,1.0
1192,2694806,29,1.0
1193,2694812,84,1.0
1195,2694823,11,1.0
1197,2694854,15,1.0
1198,2694856,27,0.962438745332403
1200,2694867,10,0.7
1201,2694879,17,1.0
1202,2694886,14,1.0
1204,2694895,47,1.0
1205,2694910,18,1.0
1206,2694922,100,1.0
1208,2694927,40,1.0
1209,2694930,23,1.0
1210,2694932,99,1.0
1211,2694944,52,1.0
1212,2694947,11,0.999999999999225
1213,2694957,35,1.0
1216,2695004,10,1.0
1217,2695006,100,1.0
1218,2695007,101,1.0
1220,2695026,40,1.0
1221,2695037,12,0.999999999881543
1223,2695056,100,1.0
1224,2695059,53,1.0
1225,2695068,101,1.0
1227,2695090,21,1.0
1228,2695104,97,1.0
1230,2695110,10,1.0
1231,2695114,62,1.0
1232,2695136,10,1.0
1233,2695149,99,1.0
1235,2695178,52,1.0
1236,2695222,13,1.0
1237,2695234,86,1.0
1238,2695237,10,0.71
1239,2695240,10,1.0
1240,2695257,39,1.0
1241,2695266,83,1.0
1242,2695281,19,1.0
1243,2695286,47,1.0
1245,2695300,26,1.0
1246,2695302,100,1.0
1249,2695309,21,1.0
1250,2695328,51,1.0
1251,2695332,17,1.0
1253,2695344,98,1.0
1254,2695351,102,1.0
1255,2695355,41,1.0
1258,2695369,16,1.0
1259,2695373,74,1.0
1260,2695374,20,1.0
1261,2695397,69,1.0
1262,2695405,32,1.0
1263,2695413,10,1.0
1264,2695417,100,1.0
1265,2695421,37,1.0
1266,2695431,11,1.0
1268,2695435,10,0.72
1269,2695451,95,1.0
1270,2695457,17,1.0
1271,2695475,67,1.0
1272,2695476,13,1.0
1273,2695495,19,0.997899251087196
1274,2695499,97,1.0
1275,2695501,96,1.0
1276,2695503,24,1.0
1278,2695531,28,1.0
1279,2695553,33,1.0
1280,2695564,34,1.0
1281,2695571,17,0.99999773894003
1282,2695580,66,1.0
1283,2695583,98,1.0
1284,2695588,99,1.0
1285,2695613,31,1.0
1286,2695614,12,1.0
1287,2695621,18,1.0
1288,2695627,50,1.0
1290,2695645,80,1.0
1291,2695661,100,1.0
1292,2695666,24,1.0
1294,2695675,100,1.0
1296,2695706,15,1.0
1299,2695716,100,1.0
1300,2695721,86,1.0
1302,2695741,50,1.0
1303,2695746,20,1.0
1304,2695750,53,1.0
1305,2695756,11,1.0
1306,2695759,100,1.0
1307,2695767,81,1.0
1308,2695772,62,1.0
1309,2695817,39,1.0
1310,2695829,35,1.0
1311,2695836,10,0.77
1313,2695839,58,1.0
1314,2695840,22,0.71
1315,2695846,14,1.0
1316,2695858,78,1.0
1318,2695885,15,0.999999999999597
1319,2695897,29,1.0
1320,2695906,96,1.0
1321,2695912,99,1.0
1323,2695928,24,1.0
1324,2695950,35,1.0
1325,2695963,27,1.0
1326,2695969,101,1.0
1327,2695995,101,1.0
1328,2696014,10,1.0
1329,2696031,22,1.0
1330,2696072,21,1.0
1331,2696078,47,1.0
1333,2696092,17,1.0
1334,2696120,94,1.0
1335,2696150,14,0.956992994859766
1336,2696153,41,1.0
1337,2696178,12,1.0
1338,2696194,47,1.0
1339,2696198,31,1.0
1340,2696203,10,1.0
1341,2696225,105,1.0
1342,2696238,18,1.0
1343,2696274,33,1.0
1345,2696306,23,1.0
1346,2696317,27,1.0
1347,2696326,31,1.0
1348,2696328,68,1.0
1349,2696349,75,1.0
1351,2696359,89,1.0
1352,2696366,12,1.0
1355,2696530,28,1.0
1356,2696538,34,1.0
1358,2696576,42,1.0
1361,2697633,13,1.0
1363,2697666,11,1.0
1367,2697762,56,1.0
1368,2697815,22,1.0
1369,2697829,99,1.0
1370,2697849,49,1.0
1371,2697900,15,1.0
1372,2697927,100,1.0
1373,2697954,91,1.0
1374,2697959,11,1.0
1376,2697985,18,1.0
1377,2698018,99,1.0
1379,2698107,15,1.0
1380,2698108,87,1.0
1381,2698131,14,1.0
1383,2698230,15,1.0
1384,2698243,17,0.7
1387,2698327,71,1.0
1388,2698340,22,1.0
1389,2698346,53,0.95537677713836
1390,2698364,47,1.0
1391,2698376,13,1.0
1392,2698386,69,1.0
1394,2698421,40,1.0
1397,2698460,14,1.0
1398,2698468,18,1.0
1399,2698478,33,1.0
